Dimension,Function,Algorithm,Score
20,6,ZOCMAES,3132.0
20,6,EA4eigN100_10,7066.0
20,6,NL-SHADE-LBC,6066.0
20,6,S_LSHADE_DP,5552.0
20,6,NL-SHADE-RSP-MID,4690.0
20,6,Co-PPSO,1427.0
20,6,NLSOMACLP,3172.0
20,7,PDABC,6658.0
20,7,ABC,6842.0
20,7,ZOCMAES,21.0
20,7,EA4eigN100_10,4119.0
20,7,NL-SHADE-LBC,4824.0
20,7,S_LSHADE_DP,2977.0
20,7,NL-SHADE-RSP-MID,2784.0
20,7,Co-PPSO,910.0
20,7,NLSOMACLP,3265.0
20,8,PDABC,6447.0
20,8,ABC,5882.0
20,8,ZOCMAES,369.0
20,8,EA4eigN100_10,4509.0
20,8,NL-SHADE-LBC,3927.0
20,8,S_LSHADE_DP,3181.0
20,8,NL-SHADE-RSP-MID,4497.0
20,8,Co-PPSO,1342.0
20,8,NLSOMACLP,2246.0
20,9,PDABC,1110.0
20,9,ABC,0.0
20,9,ZOCMAES,5520.0
20,9,EA4eigN100_10,7170.0
20,9,NL-SHADE-LBC,4170.0
20,9,S_LSHADE_DP,1920.0
20,9,NL-SHADE-RSP-MID,4170.0
20,9,Co-PPSO,5520.0
20,9,NLSOMACLP,2820.0
20,10,PDABC,6390.0
20,10,ABC,7110.0
20,10,ZOCMAES,98.0
20,10,EA4eigN100_10,1669.0
20,10,NL-SHADE-LBC,2692.0
20,10,S_LSHADE_DP,4800.0
20,10,NL-SHADE-RSP-MID,5100.0
20,10,Co-PPSO,941.0
20,10,NLSOMACLP,3600.0
20,11,PDABC,7200.0
20,11,ABC,6284.0
20,11,ZOCMAES,1883.0
20,11,EA4eigN100_10,1402.5
20,11,NL-SHADE-LBC,1807.5
20,11,S_LSHADE_DP,4752.0
20,11,NL-SHADE-RSP-MID,3410.0
20,11,Co-PPSO,1461.0
20,11,NLSOMACLP,4200.0
20,12,PDABC,6297.0
20,12,ABC,7200.0
20,12,ZOCMAES,536.0
20,12,EA4eigN100_10,4533.0
20,12,NL-SHADE-LBC,1824.0
20,12,S_LSHADE_DP,3219.0
20,12,NL-SHADE-RSP-MID,898.0
20,12,Co-PPSO,5370.0
20,12,NLSOMACLP,2523.0
