Algorithm,Dimension,Function,Control,Control_mean,Other_mean,Control_median,Other_median,Statistic,p_value,Relation
EA4eigN100_10,10,6,PDABC,1000000000000206.6,1000000000000000.0,1000000000000047.9,1000000000000000.0,900.0,3.1482692403239496e-12,-
NL-SHADE-LBC,10,6,PDABC,1000000000000206.6,1000000000000000.0,1000000000000047.9,1000000000000000.1,900.0,2.076207732688069e-11,-
NL-SHADE-RSP-MID,10,6,PDABC,1000000000000206.6,1000000000000000.1,1000000000000047.9,1000000000000000.1,900.0,2.025680278256432e-11,-
NLSOMACLP,10,6,PDABC,1000000000000206.6,1000000000000000.4,1000000000000047.9,1000000000000000.4,898.0,3.408777525917744e-11,-
S_LSHADE_DP,10,6,PDABC,1000000000000206.6,1000000000000000.2,1000000000000047.9,1000000000000000.2,900.0,2.268081878243886e-11,-
ZOCMAES,10,6,PDABC,1000000000000206.6,1000000000000002.1,1000000000000047.9,1000000000000000.5,878.0,2.459670548753132e-10,-
ABC,10,7,PDABC,1000000000000000.9,1000000000000002.4,1000000000000000.2,1000000000000002.2,38.5,1.1270572111299722e-09,+
Co-PPSO,10,7,PDABC,1000000000000000.9,1000000000000008.6,1000000000000000.2,1000000000000001.8,155.5,1.258276734365706e-05,+
EA4eigN100_10,10,7,PDABC,1000000000000000.9,197539.73333333334,1000000000000000.2,200000.0,900.0,1.5682557612219007e-12,-
NL-SHADE-LBC,10,7,PDABC,1000000000000000.9,146033.63333333333,1000000000000000.2,147939.5,900.0,2.8074005074710786e-11,-
NL-SHADE-RSP-MID,10,7,PDABC,1000000000000000.9,77208.13333333333,1000000000000000.2,78552.5,900.0,2.8074005074710786e-11,-
NLSOMACLP,10,7,PDABC,1000000000000000.9,100000000105167.8,1000000000000000.2,116871.0,820.5,4.2571497165679036e-08,-
S_LSHADE_DP,10,7,PDABC,1000000000000000.9,151657.53333333333,1000000000000000.2,153321.5,900.0,2.8074005074710786e-11,-
ZOCMAES,10,7,PDABC,1000000000000000.9,933333333336032.1,1000000000000000.2,1000000000000015.2,92.0,1.1582977181982063e-07,-
ABC,10,8,PDABC,1000000000000000.2,1000000000000010.2,1000000000000000.4,1000000000000008.1,0.0,2.768679986630936e-11,+
Co-PPSO,10,8,PDABC,1000000000000000.2,1000000000000015.5,1000000000000000.4,1000000000000020.6,124.5,1.4223354682904883e-06,+
EA4eigN100_10,10,8,PDABC,1000000000000000.2,1000000000000000.0,1000000000000000.4,1000000000000000.0,869.5,2.5066910947902065e-10,-
NL-SHADE-LBC,10,8,PDABC,1000000000000000.2,1000000000000000.0,1000000000000000.4,1000000000000000.0,886.5,3.3809129436781684e-11,-
NL-SHADE-RSP-MID,10,8,PDABC,1000000000000000.2,1000000000000000.2,1000000000000000.4,1000000000000000.1,668.0,0.001118404915906356,=
NLSOMACLP,10,8,PDABC,1000000000000000.2,1000000000000000.2,1000000000000000.4,1000000000000000.0,695.0,0.00024831739028735974,=
S_LSHADE_DP,10,8,PDABC,1000000000000000.2,1000000000000000.0,1000000000000000.4,1000000000000000.0,717.0,5.425977754709612e-05,-
ZOCMAES,10,8,PDABC,1000000000000000.2,1000000000000020.8,1000000000000000.4,1000000000000021.2,25.0,3.1516896842204774e-10,+
ABC,10,9,PDABC,42383.76666666667,1000000000000072.9,40543.5,1000000000000001.0,0.0,2.933913107864924e-11,+
Co-PPSO,10,9,PDABC,42383.76666666667,1000000000000229.4,40543.5,1000000000000229.8,0.0,1.796541238291943e-11,+
EA4eigN100_10,10,9,PDABC,42383.76666666667,1000000000000185.2,40543.5,1000000000000185.5,0.0,1.2117803970059759e-12,+
NL-SHADE-LBC,10,9,PDABC,42383.76666666667,1000000000000229.1,40543.5,1000000000000229.2,0.0,1.2117803970059759e-12,+
NL-SHADE-RSP-MID,10,9,PDABC,42383.76666666667,1000000000000229.1,40543.5,1000000000000229.2,0.0,1.2117803970059759e-12,+
NLSOMACLP,10,9,PDABC,42383.76666666667,1000000000000229.1,40543.5,1000000000000229.2,0.0,1.2117803970059759e-12,+
S_LSHADE_DP,10,9,PDABC,42383.76666666667,833333333355153.2,40543.5,1000000000000229.2,0.0,5.219031408673294e-12,+
ZOCMAES,10,9,PDABC,42383.76666666667,1000000000000229.1,40543.5,1000000000000229.2,0.0,1.2117803970059759e-12,+
ABC,10,10,PDABC,1208.4333333333334,716.6,978.0,619.5,563.5,0.09478361798830373,=
Co-PPSO,10,10,PDABC,1208.4333333333334,1000000000000100.2,978.0,1000000000000100.2,0.0,1.480117814633023e-11,+
EA4eigN100_10,10,10,PDABC,1208.4333333333334,1000000000000100.1,978.0,1000000000000100.1,0.0,7.568726085047406e-12,+
NL-SHADE-LBC,10,10,PDABC,1208.4333333333334,1000000000000100.1,978.0,1000000000000100.1,0.0,1.718884598269273e-12,+
NL-SHADE-RSP-MID,10,10,PDABC,1208.4333333333334,466666666713463.6,978.0,139727.5,0.0,2.937602995082797e-11,+
NLSOMACLP,10,10,PDABC,1208.4333333333334,1000000000000000.4,978.0,1000000000000000.1,0.0,1.8930854001119064e-11,+
S_LSHADE_DP,10,10,PDABC,1208.4333333333334,66666666769175.95,978.0,110270.0,0.0,3.016075319890922e-11,+
ZOCMAES,10,10,PDABC,1208.4333333333334,1000000000000134.2,978.0,1000000000000100.5,0.0,2.7201043084698188e-11,+
ABC,10,11,PDABC,24747.0,41130.53333333333,24637.0,45786.5,150.0,9.513937913202741e-06,+
Co-PPSO,10,11,PDABC,24747.0,100000000047198.16,24637.0,50238.0,0.0,5.2114455513090915e-12,+
EA4eigN100_10,10,11,PDABC,24747.0,61012.13333333333,24637.0,50238.0,0.0,1.2454695063293308e-11,+
NL-SHADE-LBC,10,11,PDABC,24747.0,41411.36666666667,24637.0,41368.0,0.0,3.019859359162157e-11,+
NL-SHADE-RSP-MID,10,11,PDABC,24747.0,33333333384078.832,24637.0,47738.5,0.0,3.019859359162157e-11,+
NLSOMACLP,10,11,PDABC,24747.0,126301.93333333333,24637.0,125044.5,0.0,3.019859359162157e-11,+
S_LSHADE_DP,10,11,PDABC,24747.0,122512.66666666667,24637.0,122502.0,0.0,3.0141849228072565e-11,+
ZOCMAES,10,11,PDABC,24747.0,200000000021359.97,24637.0,28070.5,214.0,0.0004950392141111753,+
