3.78466494e+01	2.79499274e+01	3.63548176e+01	2.56143907e+01	3.06939475e+01	2.02269217e+01	2.73551141e+01	3.41950102e+01	2.31909034e+01	2.76103793e+01	3.07039095e+01	2.27842429e+01	2.04315795e+01	1.79054934e+01	3.27086697e+01	3.09093839e+01	3.55670266e+01	3.31062024e+01	2.43575867e+01	3.88793297e+01	2.08791512e+01	3.53387852e+01	2.24464405e+01	3.62597353e+01	2.87518183e+01	2.70315419e+01	3.53539921e+01	3.19894560e+01	3.19394471e+01	2.40437284e+01
2.28115876e+01	2.34300927e+01	3.33803424e+01	2.32238993e+01	2.80040598e+01	2.00911364e+01	2.52329693e+01	2.79458510e+01	1.99595680e+01	2.72317668e+01	3.06404477e+01	2.07804105e+01	1.94435559e+01	1.36656632e+01	1.96327074e+01	2.84061707e+01	3.27966261e+01	3.19269473e+01	2.43536475e+01	3.40220470e+01	1.12658461e+01	2.62057788e+01	1.89562060e+01	3.38552414e+01	2.57905085e+01	1.92741950e+01	2.72844389e+01	2.79439921e+01	2.76994435e+01	1.91874998e+01
1.72936542e+01	1.07152781e+01	2.31511600e+01	1.68099073e+01	2.29495220e+01	1.89587530e+01	1.78745340e+01	2.32675865e+01	1.74520517e+01	2.41295137e+01	1.92520269e+01	1.38722998e+01	1.71698163e+01	1.21605149e+01	1.58875344e+01	2.38017619e+01	2.27684198e+01	2.17975026e+01	1.30504801e+01	2.94519587e+01	1.09270659e+01	2.48825559e+01	1.76847943e+01	3.16416731e+01	2.08429954e+01	1.43485318e+01	1.97580885e+01	2.64412336e+01	1.45090089e+01	1.72814930e+01
1.53910015e+01	3.06723245e+00	1.76996883e+01	1.55381130e+01	1.95472473e+01	1.32951958e+01	1.47939065e+01	2.07937438e+01	1.11092773e+01	7.17272999e+00	1.88564695e+01	1.20763705e+01	1.55273146e+01	9.98209516e+00	1.29611416e+01	1.97839187e+01	1.35447438e+01	1.89551419e+01	8.99791300e+00	2.03579242e+01	9.57703733e+00	2.01843262e+01	1.51383648e+01	2.13873780e+01	1.37297383e+01	1.02010093e+01	1.38238674e+01	2.04820978e+01	1.23850512e+01	1.08813710e+01
1.07276165e+01	2.18060002e+00	1.60980767e+01	1.34790079e+01	1.40226741e+01	9.50277032e+00	8.71044111e+00	1.61647100e+01	1.00832636e+01	5.68414062e+00	8.90804517e+00	8.44773806e+00	1.13275247e+01	8.70947472e+00	1.12265693e+01	9.35387756e+00	9.11956819e+00	1.38890178e+01	8.93403705e+00	9.69107817e+00	8.94949197e+00	1.65362355e+01	9.76639441e+00	1.64931362e+01	1.25622474e+01	9.87192965e+00	1.03511582e+01	1.50555664e+01	7.47529081e+00	8.13796868e+00
4.23959793e+00	2.08622152e+00	1.24244478e+01	8.87035202e+00	1.05083669e+01	7.52147921e+00	8.38073583e+00	9.66853508e+00	7.25815415e+00	3.37957070e+00	7.13913243e+00	6.68899944e+00	7.46397192e+00	8.26600373e+00	8.43958969e+00	7.47207007e+00	7.52613698e+00	1.31736887e+01	7.81140445e+00	9.00695220e+00	8.57925329e+00	1.07774031e+01	7.76375284e+00	9.74827552e+00	9.81978846e+00	9.47578543e+00	9.39002670e+00	1.40224771e+01	6.25119534e+00	5.84623639e+00
2.66793127e+00	2.03701233e+00	9.66015173e+00	6.05499755e+00	8.77517704e+00	5.98836193e+00	6.47281374e+00	8.48371162e+00	4.50051748e+00	2.73135586e+00	5.15577509e+00	6.21252522e+00	7.01814106e+00	6.92834757e+00	5.19939658e+00	6.23440422e+00	6.23589469e+00	8.95755430e+00	6.74762233e+00	7.17208549e+00	6.99273332e+00	6.63984227e+00	5.78633734e+00	8.61534780e+00	7.32969772e+00	9.13774063e+00	8.10423020e+00	1.05480413e+01	5.39975393e+00	4.55150446e+00
2.37463772e+00	1.94784510e+00	8.52098355e+00	3.85909128e+00	8.09954279e+00	4.91036188e+00	5.73948949e+00	7.58978947e+00	3.84311136e+00	2.31809127e+00	4.63016321e+00	5.24906926e+00	6.38159700e+00	5.69292034e+00	3.47981841e+00	5.46818006e+00	4.75485414e+00	8.03913915e+00	6.20127650e+00	6.95736853e+00	6.43545532e+00	5.36233002e+00	5.12127998e+00	7.39842721e+00	3.09973082e+00	8.01558879e+00	6.57889002e+00	7.60673160e+00	5.16184871e+00	4.22004220e+00
2.23513947e+00	1.91491758e+00	7.90394135e+00	3.38430217e+00	6.47224996e+00	4.55830610e+00	5.28815021e+00	7.24181982e+00	3.65923864e+00	2.22692511e+00	4.49344106e+00	4.86969526e+00	5.24272876e+00	5.06844063e+00	3.15027714e+00	3.85619965e+00	4.36435904e+00	6.80055103e+00	5.22883000e+00	6.77933503e+00	6.01046593e+00	4.69265334e+00	4.67767095e+00	6.95713195e+00	2.80009098e+00	7.66881327e+00	6.35915964e+00	6.84240016e+00	4.84370101e+00	4.11133820e+00
2.22162246e+00	1.90828454e+00	7.18553125e+00	2.93591091e+00	5.96951814e+00	4.43733853e+00	4.96675402e+00	7.11281660e+00	3.60294616e+00	2.18959383e+00	4.43522097e+00	4.71335920e+00	5.02686515e+00	4.71351397e+00	3.01938622e+00	3.61907990e+00	4.28253510e+00	6.43161762e+00	5.12199616e+00	6.48665140e+00	5.72038749e+00	4.27206328e+00	4.50811901e+00	6.83460376e+00	2.70530809e+00	7.53007831e+00	6.26730585e+00	6.65596865e+00	4.74903427e+00	4.02151685e+00
2.22162246e+00	1.85905800e+00	7.03270783e+00	2.90593067e+00	5.83328253e+00	4.38779803e+00	4.93336080e+00	7.05686576e+00	3.57681396e+00	2.18172808e+00	4.37477298e+00	4.63419821e+00	4.97148912e+00	4.59372069e+00	2.98185487e+00	3.49844451e+00	4.24873677e+00	6.21341449e+00	5.09724934e+00	6.38217382e+00	5.66743959e+00	4.21800539e+00	4.40063102e+00	6.76802360e+00	2.69708775e+00	7.44707860e+00	6.15594930e+00	6.62675102e+00	4.63075141e+00	3.99553934e+00
2.22162246e+00	1.72991313e+00	6.95093012e+00	2.83682832e+00	5.82021959e+00	4.26032407e+00	4.93336080e+00	7.01393707e+00	3.57531662e+00	2.17952922e+00	4.31496977e+00	4.61859779e+00	4.95865605e+00	4.55122177e+00	2.97877835e+00	3.45600336e+00	4.22314709e+00	6.03861617e+00	5.07376800e+00	6.28652472e+00	5.56481707e+00	4.20178139e+00	4.20097264e+00	6.69313947e+00	2.69575368e+00	7.33626691e+00	6.05013540e+00	6.49872847e+00	4.49929263e+00	3.97612728e+00
2.22162246e+00	1.72210078e+00	6.91395040e+00	2.81730765e+00	5.82021959e+00	4.20536726e+00	4.93336080e+00	6.95968858e+00	3.39058630e+00	2.17952922e+00	4.28334070e+00	4.61472401e+00	4.95129056e+00	4.54610328e+00	2.97856958e+00	3.45401967e+00	4.21870442e+00	5.91573745e+00	5.07376800e+00	6.25281724e+00	5.54888544e+00	4.20178139e+00	4.18844837e+00	6.47965889e+00	2.69575368e+00	7.27686832e+00	5.94617323e+00	6.41907955e+00	4.46302067e+00	3.97226009e+00
2.22162246e+00	1.72210078e+00	4.97250566e+00	2.81730765e+00	5.74122556e+00	4.20536726e+00	4.93336080e+00	6.65754189e+00	3.37327008e+00	2.17952922e+00	4.28334070e+00	4.61472401e+00	4.95129056e+00	4.54585604e+00	2.97856958e+00	3.45401967e+00	4.21870442e+00	5.84506212e+00	3.55899253e+00	6.24384936e+00	5.54651676e+00	4.01271584e+00	1.72597456e+00	6.46176800e+00	2.69575368e+00	6.26464068e+00	5.38578738e+00	4.26874627e+00	4.46204611e+00	3.64963353e+00
2.22162246e+00	1.72210078e+00	4.83322496e+00	2.81730765e+00	3.92357105e+00	4.20536726e+00	4.43899576e+00	4.51790100e+00	3.37327008e+00	2.17952922e+00	4.28334070e+00	4.61472401e+00	4.10155795e+00	4.53078366e+00	1.65651828e+00	3.45401967e+00	3.90989326e+00	5.66436088e+00	3.45771379e+00	4.23999993e+00	1.99937422e+00	4.01271584e+00	1.72534756e+00	4.37264962e+00	2.69575368e+00	2.91562206e+00	3.36921732e+00	3.15322790e+00	2.54094994e+00	3.64963353e+00
2.22162246e+00	1.72210078e+00	3.63918924e+00	2.81730765e+00	3.91047702e+00	4.20536726e+00	3.90874532e+00	4.45787256e+00	2.79671214e+00	2.17952922e+00	4.28334070e+00	4.08444991e+00	2.93892208e+00	4.27558743e+00	1.65651828e+00	3.45401967e+00	3.90989326e+00	3.67126029e+00	3.45530174e+00	3.19119919e+00	1.99937422e+00	3.72718342e+00	1.72534756e+00	4.27839757e+00	2.69575368e+00	2.54307644e+00	3.36921732e+00	3.15322790e+00	2.54094994e+00	3.64963353e+00
1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06	1.00000000e+06
