Control,Algorithm,ControlAverageRank,AlgorithmAverageRank,AverageRankDifference_AlgorithmMinusControl,Statistic,p_value,Holm_p,Significant_Holm_0.05
PDABC,Co-PPSO,3.2916666666666665,6.666666666666667,3.3750000000000004,22.0,0.00024462246800985136,0.001956979744078811,True
PDABC,NLSOMACLP,3.2916666666666665,6.020833333333333,2.7291666666666665,24.5,0.00032314370019699253,0.0022620059013789477,True
PDABC,ZOCMAES,3.2916666666666665,7.145833333333333,3.8541666666666665,34.0,0.0008842157473708751,0.0053052944842252505,True
PDABC,ABC,3.2916666666666665,4.9375,1.6458333333333335,57.0,0.006974450692856491,0.03487225346428245,True
PDABC,NL-SHADE-RSP-MID,3.2916666666666665,5.229166666666667,1.9375000000000004,72.0,0.0254195681746105,0.101678272698442,False
PDABC,S_LSHADE_DP,3.2916666666666665,4.041666666666667,0.7500000000000004,117.5,0.3509145452718542,1.0,False
PDABC,NL-SHADE-LBC,3.2916666666666665,4.0,0.7083333333333335,123.5,0.4471037964000789,1.0,False
PDABC,EA4eigN100_10,3.2916666666666665,3.6666666666666665,0.375,136.0,0.6882203607144788,1.0,False
