Dimension,Function,Algorithm_A,Algorithm_B,Score_A,Score_B,Score_Sum
10,3,ABC,EA4eigN100_10,900.0,0.0,900.0
10,3,ABC,NL-SHADE-LBC,900.0,0.0,900.0
10,3,ABC,S_LSHADE_DP,900.0,0.0,900.0
10,3,ABC,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,3,ABC,Co-PPSO,900.0,0.0,900.0
10,3,ABC,NLSOMACLP,900.0,0.0,900.0
10,3,ZOCMAES,EA4eigN100_10,0.0,900.0,900.0
10,3,ZOCMAES,NL-SHADE-LBC,0.0,900.0,900.0
10,3,ZOCMAES,S_LSHADE_DP,0.0,900.0,900.0
10,3,ZOCMAES,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,3,ZOCMAES,Co-PPSO,0.0,900.0,900.0
10,3,ZOCMAES,NLSOMACLP,2.0,898.0,900.0
10,3,EA4eigN100_10,NL-SHADE-LBC,0.0,900.0,900.0
10,3,EA4eigN100_10,S_LSHADE_DP,780.0,120.0,900.0
10,3,EA4eigN100_10,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,3,EA4eigN100_10,Co-PPSO,390.0,510.0,900.0
10,3,EA4eigN100_10,NLSOMACLP,784.0,116.0,900.0
10,3,NL-SHADE-LBC,S_LSHADE_DP,900.0,0.0,900.0
10,3,NL-SHADE-LBC,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,3,NL-SHADE-LBC,Co-PPSO,900.0,0.0,900.0
10,3,NL-SHADE-LBC,NLSOMACLP,900.0,0.0,900.0
10,3,S_LSHADE_DP,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,3,S_LSHADE_DP,Co-PPSO,0.0,900.0,900.0
10,3,S_LSHADE_DP,NLSOMACLP,782.0,118.0,900.0
10,3,NL-SHADE-RSP-MID,Co-PPSO,900.0,0.0,900.0
10,3,NL-SHADE-RSP-MID,NLSOMACLP,900.0,0.0,900.0
10,3,Co-PPSO,NLSOMACLP,900.0,0.0,900.0
10,4,PDABC,ABC,900.0,0.0,900.0
10,4,PDABC,ZOCMAES,10.0,890.0,900.0
10,4,PDABC,EA4eigN100_10,3.0,897.0,900.0
10,4,PDABC,NL-SHADE-LBC,4.0,896.0,900.0
10,4,PDABC,S_LSHADE_DP,103.0,797.0,900.0
10,4,PDABC,NL-SHADE-RSP-MID,575.0,325.0,900.0
10,4,PDABC,Co-PPSO,301.0,599.0,900.0
10,4,PDABC,NLSOMACLP,542.0,358.0,900.0
10,4,ABC,ZOCMAES,0.0,900.0,900.0
10,4,ABC,EA4eigN100_10,0.0,900.0,900.0
10,4,ABC,NL-SHADE-LBC,0.0,900.0,900.0
10,4,ABC,S_LSHADE_DP,0.0,900.0,900.0
10,4,ABC,NL-SHADE-RSP-MID,1.0,899.0,900.0
10,4,ABC,Co-PPSO,0.0,900.0,900.0
10,4,ABC,NLSOMACLP,1.0,899.0,900.0
10,4,ZOCMAES,EA4eigN100_10,588.0,312.0,900.0
10,4,ZOCMAES,NL-SHADE-LBC,619.0,281.0,900.0
10,4,ZOCMAES,S_LSHADE_DP,858.5,41.5,900.0
10,4,ZOCMAES,NL-SHADE-RSP-MID,894.0,6.0,900.0
10,4,ZOCMAES,Co-PPSO,884.0,16.0,900.0
10,4,ZOCMAES,NLSOMACLP,898.0,2.0,900.0
10,4,EA4eigN100_10,NL-SHADE-LBC,563.0,337.0,900.0
10,4,EA4eigN100_10,S_LSHADE_DP,867.0,33.0,900.0
10,4,EA4eigN100_10,NL-SHADE-RSP-MID,899.0,1.0,900.0
10,4,EA4eigN100_10,Co-PPSO,889.5,10.5,900.0
10,4,EA4eigN100_10,NLSOMACLP,900.0,0.0,900.0
10,4,NL-SHADE-LBC,S_LSHADE_DP,877.0,23.0,900.0
10,4,NL-SHADE-LBC,NL-SHADE-RSP-MID,898.0,2.0,900.0
10,4,NL-SHADE-LBC,Co-PPSO,889.0,11.0,900.0
10,4,NL-SHADE-LBC,NLSOMACLP,900.0,0.0,900.0
10,4,S_LSHADE_DP,NL-SHADE-RSP-MID,793.5,106.5,900.0
10,4,S_LSHADE_DP,Co-PPSO,692.0,208.0,900.0
10,4,S_LSHADE_DP,NLSOMACLP,854.0,46.0,900.0
10,4,NL-SHADE-RSP-MID,Co-PPSO,239.0,661.0,900.0
10,4,NL-SHADE-RSP-MID,NLSOMACLP,412.0,488.0,900.0
10,4,Co-PPSO,NLSOMACLP,659.0,241.0,900.0
10,5,PDABC,ABC,900.0,0.0,900.0
10,5,PDABC,ZOCMAES,625.0,275.0,900.0
10,5,PDABC,EA4eigN100_10,280.0,620.0,900.0
10,5,PDABC,NL-SHADE-LBC,0.0,900.0,900.0
10,5,PDABC,S_LSHADE_DP,900.0,0.0,900.0
10,5,PDABC,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,5,PDABC,Co-PPSO,0.0,900.0,900.0
10,5,PDABC,NLSOMACLP,900.0,0.0,900.0
10,5,ABC,ZOCMAES,283.0,617.0,900.0
10,5,ABC,EA4eigN100_10,0.0,900.0,900.0
10,5,ABC,NL-SHADE-LBC,0.0,900.0,900.0
10,5,ABC,S_LSHADE_DP,0.0,900.0,900.0
10,5,ABC,NL-SHADE-RSP-MID,496.0,404.0,900.0
10,5,ABC,Co-PPSO,0.0,900.0,900.0
10,5,ABC,NLSOMACLP,9.0,891.0,900.0
10,5,ZOCMAES,EA4eigN100_10,200.0,700.0,900.0
10,5,ZOCMAES,NL-SHADE-LBC,0.0,900.0,900.0
10,5,ZOCMAES,S_LSHADE_DP,300.0,600.0,900.0
10,5,ZOCMAES,NL-SHADE-RSP-MID,632.0,268.0,900.0
10,5,ZOCMAES,Co-PPSO,0.0,900.0,900.0
10,5,ZOCMAES,NLSOMACLP,308.0,592.0,900.0
10,5,EA4eigN100_10,NL-SHADE-LBC,0.0,900.0,900.0
10,5,EA4eigN100_10,S_LSHADE_DP,900.0,0.0,900.0
10,5,EA4eigN100_10,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,5,EA4eigN100_10,Co-PPSO,150.0,750.0,900.0
10,5,EA4eigN100_10,NLSOMACLP,900.0,0.0,900.0
10,5,NL-SHADE-LBC,S_LSHADE_DP,900.0,0.0,900.0
10,5,NL-SHADE-LBC,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,5,NL-SHADE-LBC,Co-PPSO,900.0,0.0,900.0
10,5,NL-SHADE-LBC,NLSOMACLP,900.0,0.0,900.0
10,5,S_LSHADE_DP,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,5,S_LSHADE_DP,Co-PPSO,0.0,900.0,900.0
10,5,S_LSHADE_DP,NLSOMACLP,30.0,870.0,900.0
10,5,NL-SHADE-RSP-MID,Co-PPSO,0.0,900.0,900.0
10,5,NL-SHADE-RSP-MID,NLSOMACLP,8.0,892.0,900.0
10,5,Co-PPSO,NLSOMACLP,900.0,0.0,900.0
10,6,PDABC,ABC,879.0,21.0,900.0
10,6,PDABC,ZOCMAES,22.0,878.0,900.0
10,6,PDABC,EA4eigN100_10,0.0,900.0,900.0
10,6,PDABC,NL-SHADE-LBC,0.0,900.0,900.0
10,6,PDABC,S_LSHADE_DP,0.0,900.0,900.0
10,6,PDABC,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,6,PDABC,Co-PPSO,589.0,311.0,900.0
10,6,PDABC,NLSOMACLP,1.0,899.0,900.0
10,6,ABC,ZOCMAES,0.0,900.0,900.0
10,6,ABC,EA4eigN100_10,0.0,900.0,900.0
10,6,ABC,NL-SHADE-LBC,0.0,900.0,900.0
10,6,ABC,S_LSHADE_DP,0.0,900.0,900.0
10,6,ABC,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,6,ABC,Co-PPSO,40.0,860.0,900.0
10,6,ABC,NLSOMACLP,0.0,900.0,900.0
10,6,ZOCMAES,EA4eigN100_10,4.0,896.0,900.0
10,6,ZOCMAES,NL-SHADE-LBC,53.0,847.0,900.0
10,6,ZOCMAES,S_LSHADE_DP,135.0,765.0,900.0
10,6,ZOCMAES,NL-SHADE-RSP-MID,70.0,830.0,900.0
10,6,ZOCMAES,Co-PPSO,897.0,3.0,900.0
10,6,ZOCMAES,NLSOMACLP,266.0,634.0,900.0
