Dimension,Function,Algorithm,MeanTrialValue_TR,CaseRank
20,1,NL-SHADE-LBC,113576.46666666666,2.0
20,1,EA4eigN100_10,161579.96666666667,3.0
20,1,NL-SHADE-RSP-MID,327954.63333333336,4.0
20,1,ABC,338270.2,5.0
20,1,NLSOMACLP,474604.13333333336,6.0
20,1,S_LSHADE_DP,566249.8666666667,7.0
20,1,Co-PPSO,599911.3333333334,8.0
20,1,ZOCMAES,200000000094002.3,9.0
20,2,S_LSHADE_DP,100000000556764.47,1.0
20,2,EA4eigN100_10,266666667129370.28,2.0
20,2,ZOCMAES,966666666671474.2,3.0
20,2,ABC,1000000000000005.9,4.0
20,2,NL-SHADE-RSP-MID,1000000000000008.9,5.0
20,2,Co-PPSO,1000000000000016.6,6.0
20,2,PDABC,1000000000000032.1,7.0
20,2,NLSOMACLP,1000000000000035.4,8.0
20,2,NL-SHADE-LBC,1000000000000047.4,9.0
20,3,ABC,21167.8,1.0
20,3,PDABC,22127.9,2.0
20,3,NL-SHADE-RSP-MID,140853.5,3.0
20,3,NL-SHADE-LBC,156926.1,4.0
20,3,S_LSHADE_DP,209235.23333333334,5.0
20,3,NLSOMACLP,249166.46666666667,6.0
20,3,EA4eigN100_10,329545.8,7.0
20,3,ZOCMAES,433333333404860.7,8.0
20,3,Co-PPSO,833333333399684.6,9.0
20,4,NL-SHADE-LBC,1000000000000004.5,1.0
20,4,EA4eigN100_10,1000000000000008.6,2.0
20,4,S_LSHADE_DP,1000000000000013.5,3.0
20,4,Co-PPSO,1000000000000019.2,4.0
20,4,ZOCMAES,1000000000000020.6,5.0
20,4,PDABC,1000000000000026.8,6.0
20,4,NL-SHADE-RSP-MID,1000000000000027.9,7.0
20,4,NLSOMACLP,1000000000000030.0,8.0
20,4,ABC,1000000000000171.6,9.0
20,5,NL-SHADE-LBC,79836.36666666667,1.0
20,5,EA4eigN100_10,158490.0,2.0
20,5,PDABC,232688.7,3.0
20,5,S_LSHADE_DP,33333333856738.836,4.0
20,5,ZOCMAES,66666666712926.734,5.0
20,5,NLSOMACLP,433333333563678.6,6.0
20,5,Co-PPSO,600000000081936.4,7.0
20,5,ABC,1000000000000003.2,8.0
20,5,NL-SHADE-RSP-MID,1000000000000147.2,9.0
20,6,EA4eigN100_10,1000000000000000.1,1.0
20,6,NL-SHADE-LBC,1000000000000000.6,2.0
20,6,S_LSHADE_DP,1000000000000002.1,3.0
20,6,NL-SHADE-RSP-MID,1000000000000006.4,4.0
20,6,NLSOMACLP,1000000000000040.9,5.0
20,6,ZOCMAES,1000000000000041.6,6.0
20,6,PDABC,1000000000005541.1,7.0
20,6,Co-PPSO,1000000000005589.2,8.0
20,6,ABC,1000000000022788.5,9.0
20,7,ABC,5607.966666666666,1.0
20,7,PDABC,6774.366666666667,2.0
20,7,S_LSHADE_DP,966666666692688.4,3.0
20,7,EA4eigN100_10,966666666700003.5,4.0
20,7,NL-SHADE-LBC,1000000000000002.5,5.0
20,7,NLSOMACLP,1000000000000008.2,6.0
20,7,NL-SHADE-RSP-MID,1000000000000011.6,7.0
20,7,Co-PPSO,1000000000000029.6,8.0
20,7,ZOCMAES,1000000000000095.4,9.0
20,8,PDABC,66666666812842.164,1.0
20,8,ABC,166666666838149.8,2.0
20,8,NL-SHADE-LBC,1000000000000016.5,3.0
20,8,EA4eigN100_10,1000000000000016.6,4.0
20,8,S_LSHADE_DP,1000000000000018.6,5.0
20,8,NL-SHADE-RSP-MID,1000000000000020.0,6.0
20,8,NLSOMACLP,1000000000000020.8,7.0
20,8,Co-PPSO,1000000000000021.8,8.0
20,8,ZOCMAES,1000000000000054.8,9.0
20,9,PDABC,966666666681363.5,1.0
20,9,EA4eigN100_10,1000000000000165.4,2.0
20,9,Co-PPSO,1000000000000180.4,3.0
20,9,NL-SHADE-LBC,1000000000000180.8,6.0
20,9,NL-SHADE-RSP-MID,1000000000000180.8,6.0
20,9,NLSOMACLP,1000000000000180.8,6.0
